101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：高雄市,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
苓雅區,五權里,704,612579,870,625,338,1061,1056.77,121.45
苓雅區,正義里,869,1035105,1191,704,377,1467,1290.9,108.38
苓雅區,福壽里,424,354984,837,528,320,887,2082.67,248.76
苓雅區,林中里,1036,917002,885,614,348,1093,901.84,101.89
苓雅區,華堂里,999,907634,909,621,337,1182,926.29,101.95
苓雅區,朝陽里,486,413272,850,617,364,1063,853.34,100.35
苓雅區,林華里,927,756846,816,589,340,1013,830.74,101.75
苓雅區,林榮里,1387,1219638,879,587,343,1089,982.7,111.75
苓雅區,正心里,1339,1206415,901,621,353,1111,963.85,106.98
苓雅區,福祥里,382,272005,712,510,298,871,680.01,95.5
苓雅區,安祥里,949,1245133,1312,733,376,1496,2122.89,161.8
苓雅區,中正里,1114,1486051,1334,764,379,1517,2790.73,209.2
苓雅區,普天里,1195,1228506,1028,670,374,1241,1152.79,112.14
苓雅區,林富里,752,1163295,1547,782,420,1648,3327.68,215.11
苓雅區,民主里,1314,1306551,994,641,362,1148,2106.46,211.85
苓雅區,正仁里,806,660997,820,617,353,1060,739.76,90.2
苓雅區,林貴里,643,636129,989,689,381,1257,993.8,100.45
苓雅區,正大里,1728,1543674,893,620,363,1083,1079.36,120.82
苓雅區,光華里,165,119282,723,552,379,937,545.5,75.46
苓雅區,正道里,1402,1152068,822,597,333,1022,785.98,95.65
苓雅區,衛武里,579,405009,699,557,308,893,629.55,90
苓雅區,英明里,627,509188,812,588,346,998,794.13,97.79
苓雅區,林泉里,734,865587,1179,782,415,1531,1369.84,116.16
苓雅區,尚義里,586,695007,1186,758,405,1402,1563.6,131.84
苓雅區,林安里,518,481269,929,655,378,1211,907.92,97.72
苓雅區,正文里,713,677308,950,645,369,1086,1729.84,182.1
苓雅區,正言里,997,871274,874,597,359,1035,1457.5,166.78
苓雅區,文昌里,1242,948398,764,566,351,996,650.66,85.21
苓雅區,建軍里,582,464273,798,571,326,923,1078.45,135.19
苓雅區,其　他,18,15327,851,634,395,1203,744.46,87.43
苓雅區,合　計,49914,46973941,941,618,353,1119,1395.71,148.31
前鎮區,鎮北里,267,193367,724,533,318,885,693.35,95.74
前鎮區,草衙里,2524,1750101,693,531,342,837,680.44,98.13
前鎮區,前鎮里,360,248962,692,526,343,995,494.83,71.55
前鎮區,興邦里,987,954234,967,738,438,1231,954.41,98.72
前鎮區,興化里,167,122447,733,496,342,885,681.39,92.93
前鎮區,鎮中里,212,141250,666,488,307,769,653.23,98.04
前鎮區,振興里,754,779394,1034,703,408,1235,1255.24,121.43
前鎮區,西甲里,664,637693,960,646,337,1184,1144.7,119.19
前鎮區,竹內里,809,629886,779,589,343,981,734.15,94.29
前鎮區,西山里,1196,1082866,905,612,366,1191,877.99,96.97
前鎮區,良和里,1028,1082268,1053,734,375,1320,1223.1,116.18
前鎮區,建隆里,327,420074,1285,763,375,1684,1399.05,108.91
前鎮區,興中里,916,728108,795,545,325,914,916.45,115.29
前鎮區,忠誠里,633,461344,729,645,383,967,476.74,65.41
前鎮區,忠純里,1419,1021685,720,593,359,957,541.15,75.16
前鎮區,瑞竹里,443,352249,795,640,351,1015,644.74,81.09
前鎮區,復國里,827,747129,903,617,335,1152,982.65,108.77
前鎮區,鎮東里,482,342728,711,553,345,927,555.48,78.12
前鎮區,忠孝里,875,947178,1082,645,342,1193,1699.3,156.98
前鎮區,仁愛里,334,241215,722,540,330,891,620.79,85.96
前鎮區,興仁里,154,91770,596,499,321,790,438.3,73.55
前鎮區,信義里,347,237431,684,536,356,920,533.68,78
前鎮區,平等里,499,416640,835,585,337,1017,804.57,96.36
前鎮區,明道里,236,170588,723,575,358,872,662.81,91.7
前鎮區,明禮里,362,242951,671,511,340,814,562.48,83.81
前鎮區,瑞豐里,797,632758,794,618,384,977,622.94,78.46
前鎮區,鎮陽里,259,188538,728,571,338,870,634.25,87.13
前鎮區,盛興里,869,836600,963,608,362,1085,1434.28,148.98
前鎮區,鎮榮里,578,361791,626,485,314,819,491.53,78.53
前鎮區,瑞南里,1332,1016805,763,598,361,945,658.25,86.23
前鎮區,瑞崗里,701,538584,768,569,329,937,720.09,93.72
前鎮區,瑞東里,662,476773,720,557,345,900,599.25,83.21
前鎮區,瑞北里,849,610842,719,582,358,903,552.35,76.77
前鎮區,瑞西里,819,580587,709,575,345,943,546.12,77.04
前鎮區,瑞興里,745,574394,771,591,332,946,763.21,98.99
前鎮區,瑞和里,564,416282,738,565,354,935,683.53,92.61
前鎮區,瑞隆里,1002,746820,745,586,340,936,646.91,86.79
前鎮區,信德里,547,360821,660,544,342,822,525.28,79.63
前鎮區,鎮昌里,524,382742,730,547,350,848,681.98,93.37
前鎮區,明正里,1609,1281322,796,619,383,1001,639.12,80.26
前鎮區,竹西里,1321,1236305,936,692,380,1235,849.67,90.79
前鎮區,平昌里,152,106889,703,531,280,982,613.43,87.23
前鎮區,明孝里,746,529488,710,504,316,882,687.27,96.83
前鎮區,瑞祥里,1445,1249483,865,636,356,1127,761.27,88.04
前鎮區,瑞平里,1162,951675,819,611,338,1055,733.82,89.6
